Sun Feb 11 03:44:51 2018, [490, 517, 505, 563, 473, 435, 513, 501, 602, 537, 495, 546, 494, 497, 503, 513, 514, 486, 502, 525, 506, 547, 496, 516, 534, 470, 496, 517, 506, 491, 527, 513, 557, 469, 508, 513, 514, 524, 508, 463, 542, 496, 556, 498, 513, 504, 544, 492, 540, 511, 547, 491, 508, 540, 472, 499, 520, 503, 560, 520, 517, 545, 534, 510, 521, 466, 487, 486, 501, 547, 481, 519, 503, 514, 535, 469, 499, 534, 497, 542, 497, 517, 541, 478, 470, 537, 504, 559, 510, 515, 556, 473, 503, 523, 508, 556, 520, 514, 525, 468, 573, 514, 513, 536, 468, 508, 535, 512, 547, 500, 510, 544, 467, 497, 546, 506, 491, 507, 502, 541, 510, 503, 490, 503, 508, 465, 523, 545, 475, 502, 502, 518, 539, 474, 464, 532, 498, 481, 527, 506, 517, 503, 515, 517, 503, 536, 526, 496, 550, 517, 497, 510, 505, 535, 483, 467, 582, 512, 515, 508, 513, 532, 504, 489, 525, 501, 530, 521, 531, 522, 505, 513, 518, 482, 541, 542, 443, 556, 496, 513, 511, 514, 541, 530, 495, 551, 505, 476, 508, 512, 535, 477, 478, 495, 491, 542, 508, 516, 562, 466, 508, 526, 506, 537, 521, 470, 527, 483, 475, 513, 507, 533, 499, 489, 553, 516, 504, 510, 502, 542, 541, 506, 530, 512, 471, 501, 514, 544, 507, 482, 527, 510, 536, 582, 494, 556, 561, 469, 515, 497, 560, 516, 507, 537, 497, 516, 501, 511, 540, 534, 475, 546, 503, 523, 510, 511]
Sun Feb 11 03:46:16 2018, [512, 508, 500, 514, 528, 503, 476, 544, 477, 483, 511, 475, 555, 537, 462, 523, 503, 488, 518, 500, 546, 483, 502, 516, 496, 484, 522, 478, 557, 542, 486, 513, 512, 546, 540, 474, 543, 490, 478, 508, 501, 504, 549, 491, 540, 503, 502, 495, 504, 551, 549, 481, 527, 505, 511, 523, 514, 550, 507, 498, 513, 511, 559, 527, 479, 543, 498, 513, 517, 508, 540, 512, 477, 540, 504, 538, 506, 514, 547, 481, 495, 531, 506, 527, 518, 501, 525, 466, 497, 506, 505, 553, 523, 517, 562, 499, 494, 507, 511, 542, 554, 495, 543, 489, 547, 513, 511, 549, 552, 470, 532, 492, 550, 511, 520, 547, 539, 473, 523, 513, 486, 519, 510, 524, 467, 524, 515, 506, 556, 492, 473, 538, 513, 517, 514, 505, 547, 470, 505, 539, 504, 489, 510, 511, 541, 473, 501, 531, 502, 532, 523, 492, 558, 467, 468, 517, 509, 509, 532, 498, 555, 522, 512, 512, 511, 572, 475, 463, 535, 494, 546, 509, 516, 536, 483, 462, 535, 506, 505, 510, 501, 554, 451, 497, 521, 464, 480, 535, 491, 534, 477, 489, 517, 504, 534, 547, 468, 541, 489, 552, 514, 510, 518, 540, 462, 528, 501, 511, 501, 505, 530, 545, 488, 523, 501, 548, 494, 486, 561, 541, 483, 516, 520, 551, 515, 501, 549, 500, 527, 514, 514, 537, 541, 488, 541, 504, 531, 507, 518, 501, 470, 495, 512, 503, 526, 502, 513, 554, 486, 485, 519, 509, 515, 525, 490, 559]
Sun Feb 11 03:56:00 2018, [497, 509, 516, 507, 566, 506, 466, 529, 511, 490, 510, 508, 541, 488, 499, 549, 515, 520, 511, 520, 546, 495, 483, 537, 511, 535, 513, 502, 534, 476, 505, 520, 508, 554, 509, 487, 598, 486, 479, 576, 509, 540, 495, 504, 541, 507, 479, 511, 511, 533, 475, 500, 528, 510, 475, 509, 487, 540, 535, 496, 525, 501, 559, 524, 499, 533, 520, 520, 518, 500, 545, 530, 462, 547, 507, 532, 470, 506, 538, 484, 497, 543, 494, 536, 504, 509, 540, 533, 463, 527, 499, 513, 507, 506, 549, 472, 497, 512, 508, 552, 495, 478, 557, 509, 517, 504, 509, 540, 530, 505, 536, 493, 543, 501, 508, 541, 454, 478, 529, 507, 525, 509, 513, 561, 497, 499, 512, 508, 530, 498, 508, 542, 465, 509, 515, 514, 543, 488, 496, 544, 502, 513, 511, 515, 534, 479, 499, 536, 493, 516, 509, 511, 553, 465, 503, 522, 512, 556, 527, 482, 556, 473, 478, 518, 512, 500, 493, 480, 548, 501, 511, 515, 508, 514, 503, 483, 544, 511, 541, 510, 516, 523, 523, 477, 525, 504, 561, 514, 521, 530, 517, 485, 516, 486, 561, 510, 468, 549, 521, 496, 516, 512, 525, 505, 469, 543, 509, 496, 496, 513, 533, 543, 491, 524, 504, 477, 514, 511, 538, 492, 498, 514, 505, 542, 536, 500, 552, 496, 475, 515, 515, 534, 500, 463, 548, 507, 468, 515, 511, 541, 543, 478, 532, 512, 533, 507, 516, 507, 499, 490, 523, 502, 538, 528, 513, 558]
Sun Feb 11 04:13:35 2018, [472, 511, 509, 524, 488, 500, 534, 505, 486, 518, 513, 551, 507, 491, 520, 501, 557, 534, 478, 551, 482, 496, 512, 512, 533, 508, 489, 544, 495, 532, 496, 512, 564, 543, 490, 526, 506, 486, 506, 510, 541, 479, 494, 523, 495, 550, 523, 508, 557, 460, 499, 512, 509, 529, 502, 463, 552, 509, 498, 510, 510, 507, 480, 461, 540, 505, 553, 509, 515, 548, 544, 502, 589, 513, 529, 519, 514, 521, 532, 498, 523, 505, 557, 513, 471, 546, 513, 482, 502, 516, 525, 531, 458, 550, 510, 504, 507, 510, 541, 543, 476, 534, 503, 543, 506, 505, 572, 509, 499, 502, 513, 510, 553, 519, 546, 468, 485, 513, 513, 533, 528, 489, 546, 503, 501, 500, 521, 508, 495, 491, 540, 498, 557, 510, 508, 514, 491, 478, 515, 512, 482, 486, 489, 532, 481, 509, 566, 497, 551, 508, 494, 561, 497, 485, 513, 512, 541, 528, 482, 540, 508, 538, 507, 477, 522, 469, 441, 532, 502, 537, 511, 501, 547, 488, 475, 524, 510, 529, 527, 501, 553, 546, 493, 518, 507, 527, 529, 462, 543, 512, 535, 501, 517, 548, 465, 473, 537, 493, 548, 509, 501, 551, 541, 496, 530, 497, 514, 491, 483, 559, 513, 471, 506, 515, 563, 497, 473, 529, 501, 514, 508, 512, 507, 521, 465, 533, 473, 540, 496, 516, 527, 535, 472, 529, 504, 529, 478, 503, 534, 546, 508, 520, 510, 620, 512, 489, 553, 517, 485, 511, 510, 521, 510, 469, 547, 503]
Sun Feb 11 04:48:26 2018, [556, 494, 508, 511, 509, 507, 526, 496, 549, 509, 526, 515, 514, 540, 580, 481, 546, 501, 513, 509, 513, 550, 504, 481, 534, 503, 494, 506, 499, 558, 549, 540, 513, 509, 621, 502, 513, 550, 479, 476, 516, 516, 537, 523, 471, 550, 511, 527, 512, 506, 542, 469, 494, 535, 477, 471, 508, 506, 512, 541, 484, 524, 509, 537, 526, 487, 545, 539, 469, 519, 515, 561, 520, 506, 557, 490, 534, 513, 513, 553, 497, 467, 545, 497, 545, 504, 510, 539, 509, 491, 529, 503, 532, 485, 498, 555, 540, 502, 510, 505, 563, 498, 515, 554, 513, 483, 501, 503, 499, 550, 491, 596, 513, 531, 510, 514, 533, 501, 496, 537, 506, 532, 505, 501, 549, 540, 498, 524, 464, 554, 531, 513, 549, 516, 506, 511, 498, 540, 526, 472, 543, 500, 538, 508, 517, 564, 533, 473, 544, 495, 548, 507, 506, 555, 473, 499, 528, 492, 515, 527, 482, 564, 523, 500, 521, 474, 548, 499, 486, 524, 494, 489, 511, 502, 528, 483, 465, 542, 503, 539, 506, 497, 546, 495, 499, 540, 509, 500, 504, 520, 548, 538, 499, 524, 498, 514, 498, 496, 558, 546, 506, 510, 513, 528, 493, 459, 544, 508, 482, 503, 510, 542, 492, 503, 525, 491, 489, 506, 515, 561, 528, 482, 524, 512, 485, 487, 514, 562, 499, 478, 519, 507, 536, 541, 497, 548, 495, 542, 511, 501, 545, 478, 490, 537, 495, 481, 505, 512, 531, 535, 488, 529, 507, 541, 482, 521]
Sun Feb 11 06:00:01 2018, [517, 583, 493, 502, 533, 502, 509, 508, 501, 548, 542, 490, 521, 497, 562, 532, 475, 550, 477, 485, 514, 518, 502, 525, 556, 547, 496, 473, 502, 513, 533, 508, 498, 541, 507, 555, 506, 497, 549, 543, 482, 528, 497, 502, 516, 526, 554, 545, 519, 514, 498, 545, 498, 504, 543, 490, 531, 509, 518, 505, 536, 439, 542, 490, 536, 511, 515, 532, 528, 500, 532, 505, 547, 512, 511, 561, 547, 467, 494, 506, 558, 499, 470, 542, 493, 497, 518, 508, 508, 480, 465, 543, 514, 541, 500, 475, 549, 502, 451, 529, 491, 538, 509, 512, 543, 478, 506, 527, 505, 528, 495, 509, 542, 501, 496, 574, 510, 506, 536, 470, 552, 501, 532, 512, 501, 543, 526, 464, 536, 509, 517, 499, 482, 535, 473, 485, 524, 508, 531, 523, 511, 548, 526, 486, 516, 510, 547, 530, 474, 552, 515, 479, 500, 511, 532, 535, 503, 533, 513, 517, 513, 515, 536, 495, 510, 520, 490, 541, 518, 517, 551, 537, 516, 520, 501, 519, 514, 501, 556, 482, 514, 501, 500, 523, 545, 493, 542, 511, 550, 506, 515, 539, 464, 461, 537, 497, 544, 507, 512, 521, 477, 502, 525, 495, 543, 491, 515, 549, 481, 515, 504, 509, 537, 522, 470, 546, 509, 524, 511, 503, 536, 536, 489, 540, 504, 514, 503, 501, 557, 477, 499, 533, 511, 501, 518, 496, 548, 512, 506, 520, 510, 508, 535, 472, 531, 482, 524, 513, 503, 612, 488, 470, 542, 502, 532, 511]
Sun Feb 11 06:46:06 2018, [464, 499, 503, 485, 478, 507, 547, 477, 509, 522, 512, 559, 529, 518, 552, 473, 507, 510, 497, 552, 507, 469, 528, 507, 509, 507, 512, 530, 485, 473, 542, 492, 550, 510, 500, 550, 483, 497, 531, 508, 513, 492, 533, 536, 508, 505, 520, 508, 541, 514, 492, 547, 523, 516, 510, 511, 522, 518, 485, 540, 501, 536, 501, 514, 548, 509, 461, 535, 508, 513, 510, 499, 558, 466, 508, 509, 504, 546, 505, 512, 542, 473, 489, 514, 506, 536, 503, 500, 537, 488, 489, 509, 509, 515, 512, 472, 536, 492, 554, 504, 504, 541, 511, 478, 520, 506, 538, 496, 516, 550, 540, 487, 515, 511, 550, 524, 495, 547, 494, 507, 513, 513, 503, 520, 462, 531, 502, 543, 509, 501, 543, 475, 499, 531, 507, 549, 486, 503, 563, 531, 489, 519, 498, 524, 529, 467, 534, 517, 512, 508, 502, 541, 502, 503, 541, 467, 502, 503, 515, 542, 505, 470, 534, 508, 550, 492, 517, 553, 475, 492, 520, 496, 549, 487, 507, 553, 471, 512, 515, 503, 501, 517, 507, 541, 510, 525, 507, 498, 529, 480, 465, 540, 457, 522, 492, 490, 512, 487, 498, 525, 504, 487, 524, 508, 558, 538, 486, 514, 514, 494, 521, 471, 590, 507, 522, 516, 503, 545, 485, 495, 548, 492, 548, 510, 514, 527, 541, 464, 525, 503, 552, 505, 463, 554, 529, 480, 520, 511, 558, 498, 513, 544, 491, 513, 511, 507, 529, 538, 500, 540, 500, 523, 540, 504, 530, 499]
Sun Feb 11 08:38:35 2018, [519, 512, 473, 537, 513, 526, 473, 491, 537, 508, 527, 508, 512, 542, 473, 508, 520, 548, 502, 503, 468, 557, 462, 495, 517, 503, 539, 470, 481, 541, 500, 544, 511, 509, 551, 473, 489, 529, 506, 530, 508, 510, 558, 530, 490, 524, 504, 553, 494, 515, 551, 507, 515, 513, 510, 539, 499, 510, 536, 508, 601, 508, 516, 538, 534, 493, 539, 497, 546, 513, 511, 547, 530, 466, 504, 511, 558, 491, 488, 546, 492, 471, 515, 498, 548, 505, 512, 529, 482, 493, 513, 507, 540, 484, 486, 539, 500, 489, 507, 512, 522, 471, 497, 534, 504, 532, 490, 521, 548, 489, 505, 517, 499, 552, 484, 511, 518, 517, 510, 506, 510, 534, 556, 503, 544, 505, 472, 497, 512, 555, 480, 497, 537, 506, 576, 493, 518, 522, 483, 474, 521, 504, 555, 523, 486, 550, 487, 508, 514, 512, 529, 493, 504, 548, 467, 548, 504, 503, 523, 509, 462, 545, 493, 514, 510, 514, 552, 509, 507, 525, 505, 588, 485, 516, 575, 542, 508, 507, 506, 524, 500, 500, 534, 529, 529, 511, 500, 527, 512, 493, 550, 479, 503, 506, 512, 536, 540, 499, 535, 503, 553, 495, 509, 535, 479, 472, 519, 507, 500, 521, 507, 567, 479, 504, 509, 514, 544, 545, 506, 540, 498, 526, 508, 502, 513, 470, 495, 538, 499, 550, 502, 515, 553, 496, 501, 523, 507, 506, 484, 513, 549, 474, 508, 513, 511, 566, 534, 507, 572, 516, 486, 509, 512, 553, 468, 484]
Sun Feb 11 10:23:07 2018, [451, 498, 491, 553, 481, 484, 524, 556, 472, 502, 513, 558, 542, 495, 546, 520, 536, 506, 509, 509, 484, 476, 523, 508, 551, 489, 509, 536, 472, 492, 526, 15, 1015, 1023, 128, 409, 158, 489, 658, 542, 317, 630, 587, 446, 420, 554, 554, 600, 548, 493, 589, 533, 411, 555, 494, 450, 609, 441, 536, 497, 502, 489, 548, 508, 523, 481, 563, 547, 511, 462, 476, 468, 522, 491, 507, 502, 501, 549, 499, 524, 513, 498, 514, 491, 494, 519, 528, 504, 513, 515, 540, 531, 489, 530, 507, 491, 517, 521, 561, 540, 480, 515, 500, 550, 528, 505, 504, 488, 528, 496, 495, 1023, 631, 372, 448, 322, 590, 522, 430, 487, 576, 530, 405, 516, 630, 429, 464, 572, 477, 495, 490, 505, 560, 520, 504, 554, 486, 506, 508, 491, 551, 477, 481, 512, 501, 470, 488, 526, 549, 505, 520, 525, 519, 574, 531, 507, 568, 482, 496, 496, 520, 493, 517, 496, 542, 501, 497, 513, 516, 538, 471, 471, 537, 504, 549, 510, 516, 550, 545, 486, 506, 510, 559, 510, 484, 551, 521, 523, 518, 517, 539, 519, 464, 530, 543, 530, 508, 517, 557, 499, 488, 533, 513, 550, 524, 503, 555, 525, 453, 500, 507, 478, 480, 510, 497, 505, 535, 516, 519, 535, 515, 493, 518, 519, 563, 518, 510, 553, 458, 518, 509, 505, 498, 543, 501, 551, 514, 501, 501, 513, 540, 544, 497, 527, 502, 507, 501, 509, 552, 531, 465, 520, 498, 519, 520, 507]
Sun Feb 11 13:35:53 2018, [506, 520, 508, 501, 510, 508, 502, 519, 508, 551, 529, 481, 544, 525, 517, 507, 516, 532, 526, 489, 542, 492, 466, 508, 507, 542, 467, 462, 529, 503, 544, 522, 531, 539, 481, 515, 512, 505, 493, 503, 507, 537, 507, 529, 511, 505, 509, 490, 498, 532, 508, 479, 507, 518, 528, 543, 468, 521, 507, 503, 527, 471, 526, 549, 548, 510, 500, 533, 524, 501, 549, 510, 487, 503, 514, 552, 536, 511, 527, 495, 503, 514, 520, 562, 476, 513, 510, 513, 490, 536, 502, 523, 529, 522, 504, 511, 533, 512, 477, 544, 507, 500, 505, 512, 502, 482, 466, 512, 503, 545, 516, 498, 555, 518, 518, 511, 517, 536, 499, 496, 544, 495, 545, 513, 481, 527, 481, 460, 531, 510, 550, 502, 518, 518, 532, 500, 521, 512, 531, 488, 487, 540, 538, 510, 506, 513, 544, 527, 496, 542, 506, 543, 503, 500, 509, 531, 502, 527, 510, 485, 516, 521, 543, 542, 512, 506, 509, 532, 508, 463, 551, 506, 653, 527, 474, 622, 462, 469, 549, 504, 498, 676, 318, 696, 557, 432, 438, 533, 514, 524, 478, 640, 14, 1023, 402, 354, 189, 583, 368, 481, 14, 1023, 769, 577, 21, 715, 302, 483, 357, 541, 636, 449, 453, 578, 386, 534, 584, 411, 536, 516, 546, 485, 465, 569, 470, 512, 555, 457, 513, 499, 529, 522, 506, 540, 550, 497, 499, 501, 518, 517, 457, 521, 474, 492, 520, 508, 554, 521, 486, 544, 499, 482, 509, 483, 539, 476]
